Website,Name,Price,User Review Score,Review Count
Amazon,Playstation 5 with Dualsense,499.99,4.8,545
Amazon,Apple Airpods Pro 2nd Gen,199.99,4.7,6593
Amazon,Fujifilm Instax Mini 11,59.95,4.7,26073
Amazon,iRobot Roomba 694,179.0,4.3,15135
Amazon,Dyson V8,397.8,4.4,983
Amazon,Google Pixel 7 128GB,499.97,4.1,105
Amazon,Apple Ipad Pro 12.9 256GB,1129.0,4.4,115
Amazon,Fitbit Versa 2,109.95,4.6,151678
Amazon,Kindle Paperwhite Signature Edition,144.99,4.7,11075
Bestbuy,Playstation 5 with Dualsense,499.99,4.9,26162
Bestbuy,Apple Airpods Pro 2nd Gen,199.99,4.8,3446
Bestbuy,Fujifilm Instax Mini 11,59.99,4.7,1562
Bestbuy,iRobot Roomba 694,179.99,4.4,649
Bestbuy,Dyson V8,449.99,4.7,4371
Bestbuy,Google Pixel 7 128GB,599.0,4.7,667
Bestbuy,Apple Ipad Pro 12.9 256GB,1199.0,4.8,142
Bestbuy,Fitbit Versa 2,149.95,4.5,7318
Bestbuy,Kindle Paperwhite Signature Edition,189.99,4.8,254
Newegg,Playstation 5 with Dualsense,649.98,4.8,154
Newegg,Apple Airpods Pro 2nd Gen,239.99,0.0,0
Newegg,Fujifilm Instax Mini 11,69.95,5.0,2
Newegg,iRobot Roomba 694,219.99,0.0,0
Newegg,Dyson V8,499.99,0.0,2
Newegg,Google Pixel 7 128GB,599.0,0.0,0
Newegg,Apple Ipad Pro 12.9 256GB,1243.99,0.0,0
Newegg,Fitbit Versa 2,73.0,0.0,0
Newegg,Kindle Paperwhite Signature Edition,144.9,0.0,0
Ebay,Playstation 5 with Dualsense,732.49,NA,NA
Ebay,Apple Airpods Pro 2nd Gen,197.99,NA,NA
Ebay,Fujifilm Instax Mini 11,102.83789999999999,NA,NA
Ebay,iRobot Roomba 694,150.0,NA,NA
Ebay,Dyson V8,299.99,NA,NA
Ebay,Google Pixel 7 128GB,449.99,NA,NA
Ebay,Apple Ipad Pro 12.9 256GB,1099.0,NA,NA
Ebay,Fitbit Versa 2,87.99,NA,NA
Ebay,Kindle Paperwhite Signature Edition,189.99,NA,NA
